"[6, 6, 6, 1, 1, 1]",27
"[7, 6, 4, 3, 1, 0]",27
"[6, 6, 4, 3, 1, 1]",26
"[7, 6, 4, 2, 2, 0]",26
"[7, 7, 5, 2, 0, 0]",26
"[6, 6, 4, 3, 2, 0]",25
"[7, 6, 5, 2, 1, 0]",25
"[7, 6, 5, 3, 0, 0]",25
"[6, 6, 6, 3, 0, 0]",24
"[7, 6, 6, 2, 0, 0]",24
"[7, 7, 4, 3, 0, 0]",24
"[7, 7, 7, 0, 0, 0]",24
"[6, 6, 4, 2, 2, 1]",23
"[6, 6, 4, 4, 1, 0]",23
"[6, 6, 5, 2, 2, 0]",23
"[7, 6, 4, 4, 0, 0]",23
"[7, 6, 6, 1, 1, 0]",23
"[6, 6, 6, 2, 1, 0]",22
"[7, 7, 4, 2, 1, 0]",22
"[6, 5, 4, 3, 2, 1]",21
"[6, 5, 5, 3, 2, 0]",21
"[7, 7, 6, 1, 0, 0]",21
"[6, 5, 4, 4, 2, 0]",20
"[6, 5, 5, 2, 2, 1]",20
"[6, 5, 5, 3, 1, 1]",20
"[6, 6, 5, 3, 1, 0]",20
"[6, 5, 4, 2, 2, 2]",19
"[6, 5, 4, 4, 1, 1]",19
"[6, 6, 3, 3, 3, 0]",19
"[7, 5, 4, 3, 1, 1]",19
"[7, 5, 4, 3, 2, 0]",19
"[7, 5, 5, 2, 2, 0]",19
"[7, 5, 5, 3, 1, 0]",19
"[7, 6, 4, 2, 1, 1]",19
"[7, 7, 5, 1, 1, 0]",19
"[6, 4, 4, 4, 2, 1]",18
"[6, 6, 3, 3, 2, 1]",18
"[6, 6, 5, 2, 1, 1]",18
"[6, 6, 5, 4, 0, 0]",18
"[7, 4, 4, 4, 1, 1]",18
"[7, 4, 4, 4, 2, 0]",18
"[7, 6, 5, 1, 1, 1]",18
"[5, 5, 5, 3, 2, 1]",17
"[6, 5, 4, 3, 3, 0]",17
"[6, 5, 5, 4, 1, 0]",17
"[6, 5, 5, 5, 0, 0]",17
"[7, 5, 4, 2, 2, 1]",17
"[7, 5, 4, 4, 1, 0]",17
"[7, 5, 5, 2, 1, 1]",17
"[7, 5, 5, 4, 0, 0]",17
"[7, 6, 2, 2, 2, 2]",17
"[7, 6, 3, 2, 2, 1]",17
"[7, 6, 3, 3, 1, 1]",17
"[7, 6, 3, 3, 2, 0]",17
"[7, 7, 3, 3, 1, 0]",17
"[7, 7, 4, 1, 1, 1]",17
"[4, 4, 4, 4, 4, 1]",16
"[5, 5, 4, 3, 2, 2]",16
"[5, 5, 4, 4, 2, 1]",16
"[5, 5, 5, 4, 1, 1]",16
"[5, 5, 5, 4, 2, 0]",16
"[6, 4, 4, 3, 3, 1]",16
"[6, 4, 4, 4, 3, 0]",16
"[6, 6, 3, 2, 2, 2]",16
"[7, 4, 4, 2, 2, 2]",16
"[7, 5, 3, 2, 2, 2]",16
"[7, 7, 2, 2, 2, 1]",16
"[7, 7, 3, 2, 1, 1]",16
"[7, 7, 3, 2, 2, 0]",16
"[5, 4, 4, 4, 3, 1]",15
"[5, 4, 4, 4, 4, 0]",15
"[5, 5, 4, 4, 3, 0]",15
"[5, 5, 5, 2, 2, 2]",15
"[5, 5, 5, 5, 1, 0]",15
"[6, 4, 4, 3, 2, 2]",15
"[6, 5, 3, 3, 3, 1]",15
"[7, 3, 3, 3, 3, 2]",15
"[7, 4, 4, 3, 3, 0]",15
"[4, 4, 4, 3, 3, 3]",14
"[5, 4, 4, 3, 3, 2]",14
"[5, 4, 4, 4, 2, 2]",14
"[5, 5, 5, 3, 3, 0]",14
"[6, 3, 3, 3, 3, 3]",14
"[6, 4, 3, 3, 3, 2]",14
"[6, 5, 3, 3, 2, 2]",14
"[7, 4, 3, 3, 3, 1]",14
"[7, 4, 4, 3, 2, 1]",14
"[7, 5, 3, 3, 2, 1]",14
"[4, 4, 4, 4, 3, 2]",13
"[5, 4, 3, 3, 3, 3]",13
"[5, 5, 3, 3, 3, 2]",13
"[7, 4, 3, 3, 2, 2]",13
"[7, 5, 3, 3, 3, 0]",13
"[5, 5, 4, 3, 3, 1]",12
"[8, 4, 3, 2, 2, 2]",7
"[8, 5, 2, 2, 2, 2]",7
"[8, 6, 2, 2, 2, 1]",7
"[8, 7, 2, 2, 1, 1]",7
"[8, 7, 3, 1, 1, 1]",7
"[8, 7, 3, 2, 1, 0]",7
"[8, 3, 3, 3, 2, 2]",6
"[8, 3, 3, 3, 3, 1]",6
"[8, 4, 3, 3, 3, 0]",6
"[8, 5, 3, 2, 2, 1]",6
"[8, 5, 5, 3, 0, 0]",6
"[8, 6, 6, 1, 0, 0]",6
"[8, 7, 2, 2, 2, 0]",6
"[8, 4, 3, 3, 2, 1]",5
"[8, 4, 4, 3, 1, 1]",5
"[8, 4, 4, 3, 2, 0]",5
"[8, 4, 4, 4, 1, 0]",5
"[8, 5, 4, 4, 0, 0]",5
"[8, 5, 5, 1, 1, 1]",5
"[8, 6, 3, 2, 1, 1]",5
"[8, 6, 3, 2, 2, 0]",5
"[8, 6, 4, 1, 1, 1]",5
"[8, 6, 4, 2, 1, 0]",5
"[8, 6, 5, 1, 1, 0]",5
"[8, 7, 4, 1, 1, 0]",5
"[8, 7, 5, 1, 0, 0]",5
"[8, 7, 6, 0, 0, 0]",5
"[9, 7, 4, 1, 0, 0]",5
"[9, 8, 4, 0, 0, 0]",5
"[10, 4, 3, 2, 1, 1]",5
"[10, 6, 2, 2, 1, 0]",5
"[11, 5, 3, 1, 1, 0]",5
"[8, 4, 4, 2, 2, 1]",4
"[8, 5, 3, 3, 1, 1]",4
"[8, 5, 3, 3, 2, 0]",4
"[8, 5, 4, 2, 1, 1]",4
"[8, 5, 4, 2, 2, 0]",4
"[8, 5, 4, 3, 1, 0]",4
"[8, 5, 5, 2, 1, 0]",4
"[8, 6, 3, 3, 1, 0]",4
"[8, 6, 4, 3, 0, 0]",4
"[8, 6, 5, 2, 0, 0]",4
"[8, 7, 3, 3, 0, 0]",4
"[8, 7, 4, 2, 0, 0]",4
"[8, 8, 2, 1, 1, 1]",4
"[8, 8, 2, 2, 1, 0]",4
"[9, 5, 3, 2, 2, 0]",4
"[9, 5, 3, 3, 1, 0]",4
"[9, 6, 4, 1, 1, 0]",4
"[9, 6, 4, 2, 0, 0]",4
"[9, 7, 5, 0, 0, 0]",4
"[10, 5, 3, 2, 1, 0]",4
"[11, 6, 3, 1, 0, 0]",4
"[11, 9, 1, 0, 0, 0]",4
"[12, 3, 3, 2, 1, 0]",4
"[13, 6, 1, 1, 0, 0]",4
"[14, 2, 2, 1, 1, 1]",4
"[14, 3, 1, 1, 1, 1]",4
"[15, 2, 1, 1, 1, 1]",4
"[8, 8, 3, 1, 1, 0]",3
"[8, 8, 3, 2, 0, 0]",3
"[8, 8, 4, 1, 0, 0]",3
"[8, 8, 5, 0, 0, 0]",3
"[9, 3, 3, 2, 2, 2]",3
"[9, 3, 3, 3, 2, 1]",3
"[9, 3, 3, 3, 3, 0]",3
"[9, 4, 2, 2, 2, 2]",3
"[9, 4, 3, 2, 2, 1]",3
"[9, 4, 3, 3, 1, 1]",3
"[9, 4, 3, 3, 2, 0]",3
"[9, 4, 4, 2, 1, 1]",3
"[9, 4, 4, 2, 2, 0]",3
"[9, 4, 4, 3, 1, 0]",3
"[9, 4, 4, 4, 0, 0]",3
"[9, 5, 2, 2, 2, 1]",3
"[9, 5, 3, 2, 1, 1]",3
"[9, 5, 4, 1, 1, 1]",3
"[9, 5, 4, 2, 1, 0]",3
"[9, 5, 4, 3, 0, 0]",3
"[9, 5, 5, 1, 1, 0]",3
"[9, 5, 5, 2, 0, 0]",3
"[9, 6, 2, 2, 1, 1]",3
"[9, 6, 2, 2, 2, 0]",3
"[9, 6, 3, 1, 1, 1]",3
"[9, 6, 3, 3, 0, 0]",3
"[9, 6, 5, 1, 0, 0]",3
"[9, 6, 6, 0, 0, 0]",3
"[9, 7, 2, 1, 1, 1]",3
"[9, 7, 2, 2, 1, 0]",3
"[9, 7, 3, 1, 1, 0]",3
"[9, 7, 3, 2, 0, 0]",3
"[9, 8, 2, 2, 0, 0]",3
"[9, 9, 1, 1, 1, 0]",3
"[9, 9, 2, 1, 0, 0]",3
"[10, 3, 3, 2, 2, 1]",3
"[10, 3, 3, 3, 1, 1]",3
"[10, 3, 3, 3, 2, 0]",3
"[10, 4, 2, 2, 2, 1]",3
"[10, 4, 4, 1, 1, 1]",3
"[10, 4, 4, 2, 1, 0]",3
"[10, 5, 2, 2, 2, 0]",3
"[10, 5, 3, 1, 1, 1]",3
"[10, 5, 3, 3, 0, 0]",3
"[10, 5, 4, 1, 1, 0]",3
"[10, 5, 4, 2, 0, 0]",3
"[10, 5, 5, 1, 0, 0]",3
"[10, 6, 2, 1, 1, 1]",3
"[10, 6, 3, 1, 1, 0]",3
"[10, 6, 4, 1, 0, 0]",3
"[10, 6, 5, 0, 0, 0]",3
"[10, 7, 2, 1, 1, 0]",3
"[10, 7, 2, 2, 0, 0]",3
"[10, 7, 3, 1, 0, 0]",3
"[10, 7, 4, 0, 0, 0]",3
"[10, 8, 3, 0, 0, 0]",3
"[11, 3, 2, 2, 2, 1]",3
"[11, 3, 3, 2, 1, 1]",3
"[11, 4, 3, 1, 1, 1]",3
"[11, 6, 1, 1, 1, 1]",3
"[11, 6, 2, 2, 0, 0]",3
"[11, 8, 2, 0, 0, 0]",3
"[12, 2, 2, 2, 2, 1]",3
"[12, 3, 3, 1, 1, 1]",3
"[12, 3, 3, 3, 0, 0]",3
"[12, 4, 2, 2, 1, 0]",3
"[12, 4, 4, 1, 0, 0]",3
"[12, 5, 1, 1, 1, 1]",3
"[12, 5, 4, 0, 0, 0]",3
"[12, 6, 1, 1, 1, 0]",3
"[12, 7, 1, 1, 0, 0]",3
"[12, 7, 2, 0, 0, 0]",3
"[13, 4, 2, 2, 0, 0]",3
"[14, 4, 1, 1, 1, 0]",3
"[14, 6, 1, 0, 0, 0]",3
"[15, 3, 2, 1, 0, 0]",3
"[16, 2, 1, 1, 1, 0]",3
"[17, 2, 1, 1, 0, 0]",3
"[9, 6, 3, 2, 1, 0]",2
"[9, 8, 1, 1, 1, 1]",2
"[9, 8, 2, 1, 1, 0]",2
"[9, 8, 3, 1, 0, 0]",2
"[9, 9, 3, 0, 0, 0]",2
"[10, 3, 2, 2, 2, 2]",2
"[10, 4, 3, 2, 2, 0]",2
"[10, 4, 3, 3, 1, 0]",2
"[10, 4, 4, 3, 0, 0]",2
"[10, 5, 2, 2, 1, 1]",2
"[10, 6, 3, 2, 0, 0]",2
"[10, 7, 1, 1, 1, 1]",2
"[10, 8, 1, 1, 1, 0]",2
"[10, 8, 2, 1, 0, 0]",2
"[10, 9, 1, 1, 0, 0]",2
"[10, 9, 2, 0, 0, 0]",2
"[10, 10, 1, 0, 0, 0]",2
"[11, 2, 2, 2, 2, 2]",2
"[11, 3, 3, 2, 2, 0]",2
"[11, 3, 3, 3, 1, 0]",2
"[11, 4, 2, 2, 1, 1]",2
"[11, 4, 2, 2, 2, 0]",2
"[11, 4, 3, 2, 1, 0]",2
"[11, 4, 3, 3, 0, 0]",2
"[11, 4, 4, 1, 1, 0]",2
"[11, 4, 4, 2, 0, 0]",2
"[11, 5, 2, 1, 1, 1]",2
"[11, 5, 2, 2, 1, 0]",2
"[11, 5, 3, 2, 0, 0]",2
"[11, 5, 4, 1, 0, 0]",2
"[11, 5, 5, 0, 0, 0]",2
"[11, 6, 2, 1, 1, 0]",2
"[11, 6, 4, 0, 0, 0]",2
"[11, 7, 1, 1, 1, 0]",2
"[11, 7, 2, 1, 0, 0]",2
"[11, 7, 3, 0, 0, 0]",2
"[11, 8, 1, 1, 0, 0]",2
"[12, 3, 2, 2, 1, 1]",2
"[12, 3, 2, 2, 2, 0]",2
"[12, 4, 2, 1, 1, 1]",2
"[12, 4, 3, 1, 1, 0]",2
"[12, 4, 3, 2, 0, 0]",2
"[12, 5, 2, 1, 1, 0]",2
"[12, 5, 2, 2, 0, 0]",2
"[12, 5, 3, 1, 0, 0]",2
"[12, 6, 2, 1, 0, 0]",2
"[12, 6, 3, 0, 0, 0]",2
"[12, 8, 1, 0, 0, 0]",2
"[13, 2, 2, 2, 1, 1]",2
"[13, 2, 2, 2, 2, 0]",2
"[13, 3, 2, 1, 1, 1]",2
"[13, 3, 2, 2, 1, 0]",2
"[13, 3, 3, 1, 1, 0]",2
"[13, 3, 3, 2, 0, 0]",2
"[13, 4, 1, 1, 1, 1]",2
"[13, 4, 2, 1, 1, 0]",2
"[13, 4, 3, 1, 0, 0]",2
"[13, 4, 4, 0, 0, 0]",2
"[13, 5, 1, 1, 1, 0]",2
"[13, 5, 2, 1, 0, 0]",2
"[13, 5, 3, 0, 0, 0]",2
"[13, 6, 2, 0, 0, 0]",2
"[13, 7, 1, 0, 0, 0]",2
"[14, 2, 2, 2, 1, 0]",2
"[14, 3, 2, 1, 1, 0]",2
"[14, 3, 2, 2, 0, 0]",2
"[14, 3, 3, 1, 0, 0]",2
"[14, 4, 2, 1, 0, 0]",2
"[14, 4, 3, 0, 0, 0]",2
"[14, 5, 1, 1, 0, 0]",2
"[14, 5, 2, 0, 0, 0]",2
"[15, 2, 2, 1, 1, 0]",2
"[15, 2, 2, 2, 0, 0]",2
"[15, 3, 1, 1, 1, 0]",2
"[15, 3, 3, 0, 0, 0]",2
"[15, 4, 1, 1, 0, 0]",2
"[15, 4, 2, 0, 0, 0]",2
"[15, 5, 1, 0, 0, 0]",2
"[16, 1, 1, 1, 1, 1]",2
"[16, 2, 2, 1, 0, 0]",2
"[16, 3, 1, 1, 0, 0]",2
"[16, 3, 2, 0, 0, 0]",2
"[16, 4, 1, 0, 0, 0]",2
"[17, 1, 1, 1, 1, 0]",2
"[17, 2, 2, 0, 0, 0]",2
"[18, 1, 1, 1, 0, 0]",2
