"[4, 4, 4, 3, 3, 3]",55.68877551,,,,,"[6, 6, 6, 1, 1, 1]",0.210447623
"[4, 4, 4, 4, 3, 2]",2.214285714,,,,,"[6, 5, 5, 5, 0, 0]",0.167188174
"[4, 4, 4, 4, 4, 1]",10.21938776,,,,,"[5, 4, 4, 4, 4, 0]",0.115975091
"[5, 4, 3, 3, 3, 3]",0.107142857,,,,,"[7, 6, 2, 2, 2, 2]",0.107173685
"[5, 4, 4, 3, 3, 2]",0.076530612,,,,,"[4, 4, 4, 3, 3, 3]",0.084122017
"[5, 4, 4, 4, 2, 2]",0.448979592,,,,,"[7, 7, 2, 2, 2, 1]",0.059598311
"[5, 4, 4, 4, 3, 1]",0.081632653,,,,,"[7, 3, 3, 3, 3, 2]",0.058072323
"[5, 4, 4, 4, 4, 0]",76.7755102,,,,,"[6, 3, 3, 3, 3, 3]",0.051837351
"[5, 5, 3, 3, 3, 2]",0.091836735,,,,,"[5, 5, 5, 5, 1, 0]",0.023244343
"[5, 5, 4, 3, 2, 2]",0.030612245,,,,,"[7, 7, 7, 0, 0, 0]",0.022781922
"[5, 5, 4, 3, 3, 1]",0.076530612,,,,,"[6, 6, 6, 3, 0, 0]",0.022373451
"[5, 5, 4, 4, 2, 1]",0.040816327,,,,,"[7, 7, 4, 1, 1, 1]",0.015606696
"[5, 5, 4, 4, 3, 0]",0.076530612,,,,,"[4, 4, 4, 4, 4, 1]",0.015437142
"[5, 5, 5, 2, 2, 2]",2.086734694,,,,,"[4, 4, 4, 4, 3, 2]",0.003344842
"[5, 5, 5, 3, 2, 1]",0.107142857,,,,,"[5, 5, 5, 2, 2, 2]",0.003152167
"[5, 5, 5, 3, 3, 0]",0.091836735,,,,,"[6, 6, 5, 4, 0, 0]",0.00268204
"[5, 5, 5, 4, 1, 1]",0.418367347,,,,,"[6, 6, 3, 2, 2, 2]",0.002574141
"[5, 5, 5, 4, 2, 0]",0.31122449,,,,,"[6, 6, 6, 2, 1, 0]",0.00172637
"[5, 5, 5, 5, 1, 0]",15.3877551,,,,,"[7, 4, 4, 2, 2, 2]",0.001240829
"[6, 3, 3, 3, 3, 3]",34.31632653,,,,,"[5, 4, 4, 4, 2, 2]",0.000678217
"[6, 4, 3, 3, 3, 2]",0.107142857,,,,,"[5, 5, 5, 4, 1, 1]",0.000631975
"[6, 4, 4, 3, 2, 2]",0.06122449,,,,,"[8, 3, 3, 3, 2, 2]",0.00051637
"[6, 4, 4, 3, 3, 1]",0.066326531,,,,,"[7, 6, 6, 2, 0, 0]",0.000493249
"[6, 4, 4, 4, 2, 1]",0.071428571,,,,,"[5, 5, 5, 4, 2, 0]",0.000470128
"[6, 4, 4, 4, 3, 0]",0.117346939,,,,,"[7, 7, 3, 2, 1, 1]",0.000400765
"[6, 5, 3, 3, 2, 2]",0.132653061,,,,,"[7, 5, 3, 2, 2, 2]",0.000262038
"[6, 5, 3, 3, 3, 1]",0.102040816,,,,,"[7, 7, 6, 1, 0, 0]",0.00023121
"[6, 5, 4, 2, 2, 2]",0.102040816,,,,,"[9, 3, 3, 3, 3, 0]",0.00023121
"[6, 5, 4, 3, 2, 1]",0.06122449,,,,,"[7, 6, 6, 1, 1, 0]",0.000208089
"[6, 5, 4, 3, 3, 0]",0.051020408,,,,,"[6, 5, 3, 3, 2, 2]",0.000200382
"[6, 5, 4, 4, 1, 1]",0.096938776,,,,,"[9, 7, 3, 2, 0, 0]",0.000184968
"[6, 5, 4, 4, 2, 0]",0.096938776,,,,,"[6, 4, 4, 4, 3, 0]",0.000177261
"[6, 5, 5, 2, 2, 1]",0.051020408,,,,,"[8, 6, 5, 1, 1, 0]",0.000177261
"[6, 5, 5, 3, 1, 1]",0.102040816,,,,,"[9, 4, 2, 2, 2, 2]",0.000177261
"[6, 5, 5, 3, 2, 0]",0.045918367,,,,,"[6, 6, 3, 3, 2, 1]",0.000169554
"[6, 5, 5, 4, 1, 0]",0.081632653,,,,,"[7, 5, 4, 2, 2, 1]",0.000169554
"[6, 5, 5, 5, 0, 0]",110.6785714,,,,,"[8, 4, 4, 2, 2, 1]",0.000169554
"[6, 6, 3, 2, 2, 2]",1.704081633,,,,,"[8, 7, 6, 0, 0, 0]",0.000169554
"[6, 6, 3, 3, 2, 1]",0.112244898,,,,,"[9, 6, 4, 2, 0, 0]",0.000169554
"[6, 6, 3, 3, 3, 0]",0.086734694,,,,,"[10, 8, 3, 0, 0, 0]",0.000169554
"[6, 6, 4, 2, 2, 1]",0.056122449,,,,,"[5, 4, 3, 3, 3, 3]",0.000161847
"[6, 6, 4, 3, 1, 1]",0.086734694,,,,,"[5, 5, 5, 3, 2, 1]",0.000161847
"[6, 6, 4, 3, 2, 0]",0.096938776,,,,,"[6, 4, 3, 3, 3, 2]",0.000161847
"[6, 6, 4, 4, 1, 0]",0.091836735,,,,,"[7, 4, 4, 3, 3, 0]",0.000161847
"[6, 6, 5, 2, 1, 1]",0.086734694,,,,,"[7, 7, 4, 2, 1, 0]",0.000161847
"[6, 6, 5, 2, 2, 0]",0.051020408,,,,,"[8, 6, 4, 2, 1, 0]",0.000161847
"[6, 6, 5, 3, 1, 0]",0.045918367,,,,,"[12, 3, 2, 2, 2, 0]",0.000161847
"[6, 6, 5, 4, 0, 0]",1.775510204,,,,,"[6, 5, 3, 3, 3, 1]",0.00015414
"[6, 6, 6, 1, 1, 1]",139.3163265,,,,,"[6, 5, 4, 2, 2, 2]",0.00015414
"[6, 6, 6, 2, 1, 0]",1.142857143,,,,,"[6, 5, 5, 3, 1, 1]",0.00015414
"[6, 6, 6, 3, 0, 0]",14.81122449,,,,,"[7, 4, 4, 3, 2, 1]",0.00015414
"[7, 3, 3, 3, 3, 2]",38.44387755,,,,,"[7, 6, 3, 2, 2, 1]",0.00015414
"[7, 4, 3, 3, 2, 2]",0.076530612,,,,,"[6, 5, 4, 4, 1, 1]",0.000146433
"[7, 4, 3, 3, 3, 1]",0.076530612,,,,,"[6, 5, 4, 4, 2, 0]",0.000146433
"[7, 4, 4, 2, 2, 2]",0.821428571,,,,,"[6, 6, 4, 3, 2, 0]",0.000146433
"[7, 4, 4, 3, 2, 1]",0.102040816,,,,,"[7, 5, 3, 3, 3, 0]",0.000146433
"[7, 4, 4, 3, 3, 0]",0.107142857,,,,,"[8, 8, 2, 2, 1, 0]",0.000146433
"[7, 4, 4, 4, 1, 1]",0.040816327,,,,,"[9, 5, 4, 3, 0, 0]",0.000146433
"[7, 4, 4, 4, 2, 0]",0.030612245,,,,,"[9, 7, 5, 0, 0, 0]",0.000146433
"[7, 5, 3, 2, 2, 2]",0.173469388,,,,,"[10, 8, 1, 1, 1, 0]",0.000146433
"[7, 5, 3, 3, 2, 1]",0.091836735,,,,,"[11, 4, 2, 2, 1, 1]",0.000146433
"[7, 5, 3, 3, 3, 0]",0.096938776,,,,,"[11, 4, 4, 1, 1, 0]",0.000146433
"[7, 5, 4, 2, 2, 1]",0.112244898,,,,,"[5, 5, 3, 3, 3, 2]",0.000138726
"[7, 5, 4, 3, 1, 1]",0.06122449,,,,,"[5, 5, 5, 3, 3, 0]",0.000138726
"[7, 5, 4, 3, 2, 0]",0.06122449,,,,,"[6, 6, 4, 4, 1, 0]",0.000138726
"[7, 5, 4, 4, 1, 0]",0.056122449,,,,,"[7, 5, 3, 3, 2, 1]",0.000138726
"[7, 5, 5, 2, 1, 1]",0.035714286,,,,,"[8, 4, 3, 2, 2, 2]",0.000138726
"[7, 5, 5, 2, 2, 0]",0.071428571,,,,,"[8, 4, 3, 3, 3, 0]",0.000138726
"[7, 5, 5, 3, 1, 0]",0.071428571,,,,,"[8, 5, 3, 3, 2, 0]",0.000138726
"[7, 5, 5, 4, 0, 0]",0.06122449,,,,,"[8, 7, 5, 1, 0, 0]",0.000138726
"[7, 6, 2, 2, 2, 2]",70.94897959,,,,,"[9, 9, 2, 1, 0, 0]",0.000138726
"[7, 6, 3, 2, 2, 1]",0.102040816,,,,,"[10, 4, 3, 2, 1, 1]",0.000138726
"[7, 6, 3, 3, 1, 1]",0.025510204,,,,,"[10, 6, 3, 2, 0, 0]",0.000138726
"[7, 6, 3, 3, 2, 0]",0.086734694,,,,,"[12, 4, 4, 1, 0, 0]",0.000138726
"[7, 6, 4, 2, 1, 1]",0.066326531,,,,,"[12, 6, 2, 1, 0, 0]",0.000138726
"[7, 6, 4, 2, 2, 0]",0.081632653,,,,,"[12, 6, 3, 0, 0, 0]",0.000138726
"[7, 6, 4, 3, 1, 0]",0.010204082,,,,,"[6, 6, 3, 3, 3, 0]",0.000131019
"[7, 6, 4, 4, 0, 0]",0.06122449,,,,,"[6, 6, 4, 3, 1, 1]",0.000131019
"[7, 6, 5, 1, 1, 1]",0.06122449,,,,,"[6, 6, 5, 2, 1, 1]",0.000131019
"[7, 6, 5, 2, 1, 0]",0.051020408,,,,,"[7, 6, 3, 3, 2, 0]",0.000131019
"[7, 6, 5, 3, 0, 0]",0.086734694,,,,,"[7, 6, 5, 3, 0, 0]",0.000131019
"[7, 6, 6, 1, 1, 0]",0.137755102,,,,,"[8, 5, 4, 3, 1, 0]",0.000131019
"[7, 6, 6, 2, 0, 0]",0.326530612,,,,,"[8, 7, 2, 2, 2, 0]",0.000131019
"[7, 7, 2, 2, 2, 1]",39.45408163,,,,,"[9, 4, 3, 2, 2, 1]",0.000131019
"[7, 7, 3, 2, 1, 1]",0.265306122,,,,,"[9, 4, 4, 2, 2, 0]",0.000131019
"[7, 7, 3, 2, 2, 0]",0.066326531,,,,,"[9, 6, 5, 1, 0, 0]",0.000131019
"[7, 7, 3, 3, 1, 0]",0.076530612,,,,,"[10, 6, 3, 1, 1, 0]",0.000131019
"[7, 7, 4, 1, 1, 1]",10.33163265,,,,,"[11, 3, 2, 2, 2, 1]",0.000131019
"[7, 7, 4, 2, 1, 0]",0.107142857,,,,,"[12, 6, 1, 1, 1, 0]",0.000131019
"[7, 7, 4, 3, 0, 0]",0.071428571,,,,,"[5, 4, 4, 4, 3, 1]",0.000123312
"[7, 7, 5, 1, 1, 0]",0.045918367,,,,,"[6, 5, 5, 4, 1, 0]",0.000123312
"[7, 7, 5, 2, 0, 0]",0.035714286,,,,,"[7, 6, 4, 2, 2, 0]",0.000123312
"[7, 7, 6, 1, 0, 0]",0.153061224,,,,,"[8, 4, 4, 3, 2, 0]",0.000123312
"[7, 7, 7, 0, 0, 0]",15.08163265,,,,,"[8, 5, 3, 2, 2, 1]",0.000123312
"[8, 3, 3, 3, 2, 2]",0.341836735,,,,,"[8, 5, 5, 3, 0, 0]",0.000123312
"[8, 3, 3, 3, 3, 1]",0.06122449,,,,,"[8, 6, 5, 2, 0, 0]",0.000123312
"[8, 4, 3, 2, 2, 2]",0.091836735,,,,,"[10, 5, 3, 3, 0, 0]",0.000123312
"[8, 4, 3, 3, 2, 1]",0.076530612,,,,,"[11, 5, 3, 1, 1, 0]",0.000123312
"[8, 4, 3, 3, 3, 0]",0.091836735,,,,,"[11, 5, 4, 1, 0, 0]",0.000123312
"[8, 4, 4, 2, 2, 1]",0.112244898,,,,,"[11, 5, 5, 0, 0, 0]",0.000123312
"[8, 4, 4, 3, 1, 1]",0.066326531,,,,,"[11, 6, 3, 1, 0, 0]",0.000123312
"[8, 4, 4, 3, 2, 0]",0.081632653,,,,,"[12, 3, 3, 2, 1, 0]",0.000123312
"[8, 4, 4, 4, 1, 0]",0.076530612,,,,,"[13, 4, 4, 0, 0, 0]",0.000123312
"[8, 5, 2, 2, 2, 2]",0.045918367,,,,,"[5, 4, 4, 3, 3, 2]",0.000115605
"[8, 5, 3, 2, 2, 1]",0.081632653,,,,,"[5, 5, 4, 3, 3, 1]",0.000115605
"[8, 5, 3, 3, 1, 1]",0.06122449,,,,,"[5, 5, 4, 4, 3, 0]",0.000115605
"[8, 5, 3, 3, 2, 0]",0.091836735,,,,,"[7, 4, 3, 3, 2, 2]",0.000115605
"[8, 5, 4, 2, 1, 1]",0.071428571,,,,,"[7, 4, 3, 3, 3, 1]",0.000115605
"[8, 5, 4, 2, 2, 0]",0.066326531,,,,,"[7, 7, 3, 3, 1, 0]",0.000115605
"[8, 5, 4, 3, 1, 0]",0.086734694,,,,,"[8, 4, 3, 3, 2, 1]",0.000115605
"[8, 5, 4, 4, 0, 0]",0.06122449,,,,,"[8, 4, 4, 4, 1, 0]",0.000115605
"[8, 5, 5, 1, 1, 1]",0.010204082,,,,,"[8, 7, 2, 2, 1, 1]",0.000115605
"[8, 5, 5, 2, 1, 0]",0.06122449,,,,,"[8, 7, 4, 2, 0, 0]",0.000115605
"[8, 5, 5, 3, 0, 0]",0.081632653,,,,,"[9, 5, 4, 1, 1, 1]",0.000115605
"[8, 6, 2, 2, 2, 1]",0.056122449,,,,,"[9, 5, 5, 2, 0, 0]",0.000115605
"[8, 6, 3, 2, 1, 1]",0.051020408,,,,,"[11, 4, 3, 2, 1, 0]",0.000115605
"[8, 6, 3, 2, 2, 0]",0.06122449,,,,,"[15, 2, 2, 2, 0, 0]",0.000115605
"[8, 6, 3, 3, 1, 0]",0.035714286,,,,,"[6, 4, 4, 4, 2, 1]",0.000107898
"[8, 6, 4, 1, 1, 1]",0.066326531,,,,,"[7, 5, 5, 2, 2, 0]",0.000107898
"[8, 6, 4, 2, 1, 0]",0.107142857,,,,,"[7, 5, 5, 3, 1, 0]",0.000107898
"[8, 6, 4, 3, 0, 0]",0.06122449,,,,,"[7, 7, 4, 3, 0, 0]",0.000107898
"[8, 6, 5, 1, 1, 0]",0.117346939,,,,,"[8, 5, 4, 2, 1, 1]",0.000107898
"[8, 6, 5, 2, 0, 0]",0.081632653,,,,,"[8, 8, 5, 0, 0, 0]",0.000107898
"[8, 6, 6, 1, 0, 0]",0.056122449,,,,,"[10, 4, 2, 2, 2, 1]",0.000107898
"[8, 7, 2, 2, 1, 1]",0.076530612,,,,,"[10, 6, 2, 2, 1, 0]",0.000107898
"[8, 7, 2, 2, 2, 0]",0.086734694,,,,,"[10, 8, 2, 1, 0, 0]",0.000107898
"[8, 7, 3, 1, 1, 1]",0.066326531,,,,,"[10, 9, 2, 0, 0, 0]",0.000107898
"[8, 7, 3, 2, 1, 0]",0.056122449,,,,,"[11, 9, 1, 0, 0, 0]",0.000107898
"[8, 7, 3, 3, 0, 0]",0.040816327,,,,,"[12, 5, 1, 1, 1, 1]",0.000107898
"[8, 7, 4, 1, 1, 0]",0.040816327,,,,,"[13, 5, 1, 1, 1, 0]",0.000107898
"[8, 7, 4, 2, 0, 0]",0.076530612,,,,,"[6, 4, 4, 3, 3, 1]",0.000100191
"[8, 7, 5, 1, 0, 0]",0.091836735,,,,,"[7, 6, 4, 2, 1, 1]",0.000100191
"[8, 7, 6, 0, 0, 0]",0.112244898,,,,,"[7, 7, 3, 2, 2, 0]",0.000100191
"[8, 8, 2, 1, 1, 1]",0.035714286,,,,,"[8, 4, 4, 3, 1, 1]",0.000100191
"[8, 8, 2, 2, 1, 0]",0.096938776,,,,,"[8, 5, 4, 2, 2, 0]",0.000100191
"[8, 8, 3, 1, 1, 0]",0.040816327,,,,,"[8, 6, 4, 1, 1, 1]",0.000100191
"[8, 8, 3, 2, 0, 0]",0.040816327,,,,,"[8, 7, 3, 1, 1, 1]",0.000100191
"[8, 8, 4, 1, 0, 0]",0.045918367,,,,,"[9, 5, 2, 2, 2, 1]",0.000100191
"[8, 8, 5, 0, 0, 0]",0.071428571,,,,,"[9, 5, 4, 2, 1, 0]",0.000100191
"[9, 3, 3, 2, 2, 2]",0.051020408,,,,,"[9, 6, 2, 2, 1, 1]",0.000100191
"[9, 3, 3, 3, 2, 1]",0.06122449,,,,,"[10, 3, 3, 3, 1, 1]",0.000100191
"[9, 3, 3, 3, 3, 0]",0.153061224,,,,,"[10, 4, 3, 2, 2, 0]",0.000100191
"[9, 4, 2, 2, 2, 2]",0.117346939,,,,,"[10, 5, 2, 2, 1, 1]",0.000100191
"[9, 4, 3, 2, 2, 1]",0.086734694,,,,,"[10, 6, 2, 1, 1, 1]",0.000100191
"[9, 4, 3, 3, 1, 1]",0.056122449,,,,,"[10, 6, 4, 1, 0, 0]",0.000100191
"[9, 4, 3, 3, 2, 0]",0.025510204,,,,,"[11, 3, 3, 2, 1, 1]",0.000100191
"[9, 4, 4, 2, 1, 1]",0.010204082,,,,,"[11, 5, 3, 2, 0, 0]",0.000100191
"[9, 4, 4, 2, 2, 0]",0.086734694,,,,,"[11, 6, 1, 1, 1, 1]",0.000100191
"[9, 4, 4, 3, 1, 0]",0.040816327,,,,,"[13, 3, 2, 1, 1, 1]",0.000100191
"[9, 4, 4, 4, 0, 0]",0.06122449,,,,,"[13, 4, 2, 1, 1, 0]",0.000100191
"[9, 5, 2, 2, 2, 1]",0.066326531,,,,,"[14, 3, 3, 1, 0, 0]",0.000100191
"[9, 5, 3, 2, 1, 1]",0.045918367,,,,,"[14, 4, 1, 1, 1, 0]",0.000100191
"[9, 5, 3, 2, 2, 0]",0.045918367,,,,,"[6, 4, 4, 3, 2, 2]",9.24841E-05
"[9, 5, 3, 3, 1, 0]",0.06122449,,,,,"[6, 5, 4, 3, 2, 1]",9.24841E-05
"[9, 5, 4, 1, 1, 1]",0.076530612,,,,,"[7, 5, 4, 3, 1, 1]",9.24841E-05
"[9, 5, 4, 2, 1, 0]",0.066326531,,,,,"[7, 5, 4, 3, 2, 0]",9.24841E-05
"[9, 5, 4, 3, 0, 0]",0.096938776,,,,,"[7, 5, 5, 4, 0, 0]",9.24841E-05
"[9, 5, 5, 1, 1, 0]",0.025510204,,,,,"[7, 6, 4, 4, 0, 0]",9.24841E-05
"[9, 5, 5, 2, 0, 0]",0.076530612,,,,,"[7, 6, 5, 1, 1, 1]",9.24841E-05
"[9, 6, 2, 2, 1, 1]",0.066326531,,,,,"[8, 3, 3, 3, 3, 1]",9.24841E-05
"[9, 6, 2, 2, 2, 0]",0.015306122,,,,,"[8, 5, 3, 3, 1, 1]",9.24841E-05
"[9, 6, 3, 1, 1, 1]",0.06122449,,,,,"[8, 5, 4, 4, 0, 0]",9.24841E-05
"[9, 6, 3, 2, 1, 0]",0.040816327,,,,,"[8, 5, 5, 2, 1, 0]",9.24841E-05
"[9, 6, 3, 3, 0, 0]",0.035714286,,,,,"[8, 6, 3, 2, 2, 0]",9.24841E-05
"[9, 6, 4, 1, 1, 0]",0.06122449,,,,,"[8, 6, 4, 3, 0, 0]",9.24841E-05
"[9, 6, 4, 2, 0, 0]",0.112244898,,,,,"[9, 3, 3, 3, 2, 1]",9.24841E-05
